Comment,Cleaned_Comment
udah jelek gada yg nyenengin ati pulak kelakuan nya,jelek gada nyenengin ati pulak kelakuan
"posisinya udah tau mengadaptasi film negara lain yaitu K-drama,malah mau ngubah karakter pria yang di serialnya, yangudah bener² rating bagus di Korea maupun Indonesia",posisinya mengadaptasi negara kdramamalah ngubah pria serialnya yangudah bener rating bagus korea indonesia
"Mungkin Abizar ini ngikutin jurusnya super Junior di mana ngeledekin elf bilang gk ada duit, gk mau nonton, gk mau datang ke super show.. Tapi kenyataan nya tetap pada datang dan tiketnya sold 😂😂😂😂😂 tp ya beda level lah.. Oppa deul suju kan emang udah apal kebiasaan elf yang pasti datang walaupun bajet mepet😂😂😂😂",abizar ngikutin jurusnya super junior ngeledekin elf duit super show kenyataan tiketnya sold tp beda level oppa deul suju apal kebiasaan elf bajet mepet
momen pas Mr. Osborn ngamuk lejend banget...😂😂😂😂😂,momen pas mr osborn ngamuk lejend
"Sudah muka jelek, attitude juga minus. Benar-benar suram tuh karir si Abidzar di dunia film. Siapa sekarang produser yang berani pakai dia untuk jadi pemain filmnya? Tentu tidak ada, daripada rugi besar lebih baik cari aktor lain. Mending si Abisxar jadi ketua ormas saja, cocok tuh songong dan egonya gede.",muka jelek attitude minus benarbenar suram tuh karir dunia produser berani pakai pemain filmnya rugi cari mending abisxar ketua ormas cocok tuh songong egonya gede
😂😂😂😂😂,
"Aduh Abidzar saya fans kamu. Tapi melihat sikapmu so so an saat diwawancara jadinya ko sangat menyayangkan. <br>Harusnya kalau sayang sama Abimu ( alm uj ) contohlah adab nya.  Walaupun beda jalur ,tidak jadi ustadz. Tapi adabnya contoh. Biar berjalan lancar karirmu. Oke tidak menonton drakornya, tapi kata kata dan sikap saat wawancara  dijaga attitude dan adabnya.",aduh sikapmu so so an diwawancara ko menyayangkan sayang abimu alm uj contohlah adab beda jalur ustadz adabnya contoh biar berjalan lancar karirmu oke menonton drakornya sikap wawancara dijaga attitude adabnya
Terlalu sombong kau anak muda...sindrom star😂,sombong kau anak mudasindrom star
"Karena falcon tuh sukses pas miracle no 7. Ah abidzar, kata gue lu o-o-n. 6rb penonton isinya pengajian umi pipik.",falcon tuh sukses pas miracle no 7 ah oon 6rb penonton isinya pengajian umi pipik
IMDb masih baik bgt ngasih 1😅,imdb ngasih 1
"ya namanya juga gak punya ijazah tamat SMA, jelas agak laen pola pikir dan sikapnya wkwk malu2in almarhum ust uje",namanya ijazah tamat sma laen pola pikir sikapnya wkwk malu2in almarhum ust uje
SDM rendah nontonnya drakor 😂,sdm rendah nontonnya drakor
Jangan macem2 deh pokonya,macem2 deh pokonya
"miracle in cell si sejauh ini yang emosinya mirip dan pecah banget menurut gue, walaupun adaptasi",miracle in cell emosinya pecah adaptasi
Netisen negatif.. Yg merugilkan org lain..,netisen negatif merugilkan org
awkoawkoawko,awkoawkoawko
Ibunya cadarnya yang bikin alay,ibunya cadarnya alay
Sombong si abidzar padahal kalo dia ga sombong bakal rame si yg nonton,sombong sombong rame
Minum air bang😂,minum air
"Mo jadi orang biasa, apalagi Public Figure, sama aja sih….Jangan Sombong. Ngancurin hidup loe tau….",mo public figure sihjangan sombong ngancurin hidup loe
Naluri arogannya sepertinya sudah terlatih dari bayi.,naluri arogannya terlatih bayi
SAYA WIBU DAN SAYA BANGGA,wibu bangga
rating 1.0 masih tinggian punya gibran 😅😂,rating 10 tinggian gibran
"Pengisi ost nya, pdhl bagus",pengisi ost pdhl bagus
"Nama&#39;a jg adaptasi, berartikan harus sama,, eeh maLah biLang menciptakan karakter baru 🤦🤦",namaa jg adaptasi berartikan eeh menciptakan
padahal kalau berhasil lumayan banget buat karir Abidzar sendiri,berhasil lumayan karir
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=680"">11:20</a> menggiring bola sampai kegawang",1120 menggiring bola kegawang
"kan film ini targetnya kdrama, malah ngehina fans nya . Ya udah amsyong 😂",targetnya kdrama ngehina amsyong
Instant death,instant death
"Bang, bedanya lu sekolah dan si abidzar ga sekolah bg😂",bedanya sekolah sekolah bg
NPD,npd
PLEASE BE PROFESIONAL - Turunin EGO,please be profesional turunin ego
CONGORMU harimaumu !!! kelar,congormu harimaumu kelar
"Awalnya ekspektasi aku Lead Malenya si Angga, cakepnya sama kek Kang Tae Mo di drakor. Ehh malah si abidzar. Huuu... Malah bertingkah juga. Jadi malas lah nonton. G ada niatan jg untuk nnton remakenya apalagi pemainnya pd songong.🙄",ekspektasi lead malenya angga cakepnya kek kang tae mo drakor ehh hu bertingkah malas g niatan jg nnton remakenya pemainnya pd songong
"Kesalahannya sih ada di falcon, salah besarnya memilih aktor utama si orang macam gini, yg notabene masih hijau dan egonya blm dikontrol. Padahal masih banyak pilihan lain yg proper, tp ya itu hak murni falcon dg segala resiko yg harus diterima.",kesalahannya falcon salah besarnya memilih utama gini notabene hijau egonya blm dikontrol pilihan proper tp hak murni falcon dg resiko diterima
Ini aktor aktris pada dapet PR training kaga seh? Bego banget sumpah basic PR aja ga bisa,aktris dapet pr training kaga seh bego sumpah basic pr
Efek kebanyakan main layangan,efek kebanyakan main layangan
"Aku paling nyesel film temurun sih, nyesel bgt2, setannya keliatan editan bgt",nyesel temurun nyesel bgt2 setannya keliatan editan
"Pers Busnis proposal beda bgt sama ramah tamah Kang Mak. Di saat netizen dll ngotot ngomong remake2 mulu. Hadirnya seorg Jirayut yg meramaikan, bahkan bkn dlm line up pemain utama, scene dia juga cuman yg di wujudkn buat ending credit. Tpi karna Jirayut sgt jaga etitud bikin rame yg pengen nonton Kang Mak dn bersama dgn pemain2 senior papan atas semua 😊😊❤",pers busnis proposal beda ramah tamah kang mak netizen dll ngotot ngomong remake2 mulu hadirnya seorg jirayut meramaikan bkn dlm line up pemain utama scene cuman wujudkn ending credit tpi karna jirayut sgt jaga etitud rame pengen kang mak dn dgn pemain2 senior papan
ramah tamah kangmak ini remakenya apa kakk?,ramah tamah kangmak remakenya kakk
@mullyerjonno  remake Pee Mak horror komedi Thailand,mullyerjonno remake pee mak horror komedi thailand
"@@mariammansur1950 oalaaah iyaiyaaa, kirain gabakal ada yg ramerame gasuka krn remake. soalnya emg lucu sih trs uda aga lama kan film aslinya",mariammansur1950 oalah iyaiya kirain gabakal ramerame gasuka krn remake emg lucu trs uda aga aslinya
@@mullyerjonno iya selain filem nya bikin ngakak. Jirayut membuat netizen antusias sama akting ny dia🤣🤣 maka rame yg nonton,mullyerjonno iya filem ngakak jirayut netizen antusias akting ny rame
"Betul. Waktu itu gw ga tau knp lupa lg, lg demen2nya jirayut. Klo ga salah krn up mulu berita dia jago OR. Pdhl tuh dlu sebel bgt liat berita dia di dangdut2 itu. Ehh jd suka, makanya gw nyuruh anak2 gw nonton KANG MAK. Lagian anak2 gw emang sukanya genre begitu, horor komedi. Dan 1 lg, meramaikan kancah film lokal. Gw nya sih ga nonton. Jagain anak bayi di rmh. Ntn dr netflix aja.",knp lupa lg lg demen2nya jirayut salah krn up mulu berita jago or pdhl tuh dlu sebel liat berita dangdut2 ehh jd suka nyuruh anak2 kang mak anak2 sukanya genre horor komedi 1 lg meramaikan kancah lokal jagain anak bayi rmh ntn dr netflix
"kurang lengkap..jangan remehkan wibu dan wota..karna kebanyakan wota wibu itu sepaket,,, kalo uda nyenggol wota kelar lo kwkwk",lengkapjangan remehkan wibu wotakarna kebanyakan wota wibu sepaket uda nyenggol wota kelar lo kwkwk
"Statement lu tentang falcon yang malah membiarkan keblunderan abidzar makin fatal, benar2 on point 😂😂",statement falcon membiarkan keblunderan fatal benar2 on point
Sutradara juga mikir2 lagi sih kalo milih aktornya 🗿,sutradara mikir2 milih aktornya
Karma orang sombong,karma sombong
"Aktor gembel, kaga pernah tau ada aktor ini",gembel kaga
"Rules ke 5, jangan nantangin netizen melulu",rules 5 nantangin netizen melulu
"saking gak minatnya sama ginian sampe baru tau ada drama aktor sombong ini wkwkwkw, tiba2 aja nongol ini video di yutub saya jadi tau. <br>kok bisa bebal banget ya udah dikritik sana sini masih sombong gitu, udah kek terorisrael dikecam hampir seluruh dunia masih lanjut genosida",saking minatnya ginian sampe drama sombong wkwkwkw tiba2 nongol video yutub bebal dikritik sombong gitu kek terorisrael dikecam dunia genosida
"Ngeselin sama si abiadab itu, gua bukan K-drama lovers, bukan jg fans nya, dikit yg gua tonton film drama Korea, yg difavoritkan juga dikit. Tapi gua gedeg liat orang yg bermasalah dengan K-drama. Agak sentimen gua klo urusan drama korsel. Ok la klo cowo ga terlalu masalah dengan hal Korsel, cowo sukanya Jepang atau Amerika, lah klo cewe, apalagi pencinta Korea Selatan dengan gila kek gitu. Bermasalah dikit aj langsung dihujat oleh cewe yg suka drama korsel. Jadi jaga diri, jangan ego. Ga tonton filmnya, ciptakan karakter sendiri. Kau ga masalah. Yg bermasalah, studio filmnya, bahkan sampai nangis, kesal, marah semuanya jadi satu karena kau bertingkah kek gitu. Kasian studio filmnya. Film itu tergantung rating, rating nya tinggi film nya bagus, rating nya sampah, film nya ampas. Jangan merusak citra fans K-drama, klo kau ga mau dihujat. Di Korsel sna rating nya tinggi, bagus filmnya. Di Indonesia, diadaptasi jadi jelek ratingnya, gegara ada binatang itu, binatang berwujud manusia yg peduli dengan ego nya sj",ngeselin abiadab kdrama lovers jg dikit tonton drama korea difavoritkan dikit gedeg liat bermasalah kdrama sentimen urusan drama korsel ok la cowo korsel cowo sukanya jepang amerika cewe pencinta korea selatan gila kek gitu bermasalah dikit aj langsung dihujat cewe suka drama korsel jaga ego tonton filmnya ciptakan kau bermasalah studio filmnya nangis kesal marah kau bertingkah kek gitu kasian studio filmnya tergantung rating rating bagus rating sampah ampas merusak citra kdrama kau dihujat korsel sna rating bagus filmnya indonesia diadaptasi jelek ratingnya gegara binatang binatang berwujud manusia peduli ego sj
"well si ariel tatum juga combo , ngebacain coment org yg gak mau nonton",well ariel tatum combo ngebacain coment org
ciri khas anak zaman now,ciri khas anak zaman now
"mirip pedro pascal, dia ngk pernah main bahkan ngk tau game TLOU... tapi katanya habis dia dapet role nya jadi joel dia langsung cari2 tuh semua tentang TLOU dia masih effort gitu lho😂 dan akhirnya Joel nya dia bagus gitu lho",pedro pascal ngk main ngk game tlou habis dapet role joel langsung cari2 tuh tlou effort gitu lho joel bagus gitu lho
Abidsar syp?,abidsar syp
Abizar ini blm siap jadi public figur 😂😂,abizar blm public figur
"Pentingnya jadi laki perlu pengetahuan umum yg luas. &quot;Gw mau bikin karakter baru yg ga terpaku ama yg orisinil&quot; Kejadian gini mirip ama anime Boruto yang penontonnya ga sebanyak Naruto. Awal-awal Boruto tayang fans Naruto banyak yg kecewa karena di Boruto ingin menghilangkan pengaruh Naruto agar lebih fresh, alhasil views nya ga sebanyak Naruto. Hingga akhirnya Masashi Kishimoto dipercaya kembali nge garap Boruto, dan views lumayan membaik. Kalo series masih bisa diperbaiki, lah ini film panjang yg udah gabisa direvisi kalo udah tayang, si dongo ini malah berulah masalahnya ini masih promosi yang berarti lagi nyari pasar (pasar tambahan) malah sok sok an savage ke target pasar. Jelas si abijar ini salah tapi sutradara ama produser juga ada peran, masa iya pemain utama bisa-bisanya ngga tau original nya jelas-jelas ini film remake/adaptasi loh, nonton yg udah jadi aja kaga pernah padahal itu metode paling gampang karena udah ada karakter nya. Coba kalo baca webtoon masih ngira-ngira karakter yg mau dimainin tuh masih harus didalemin. Nonton aja males apalagi baca, keliatan banget literasi rendah nya tuh.",laki pengetahuan luas terpaku ama orisinil kejadian gini ama anime boruto penontonnya naruto awalawal boruto tayang naruto kecewa boruto menghilangkan pengaruh naruto fresh alhasil views naruto masashi kishimoto dipercaya nge garap boruto views lumayan membaik series diperbaiki gabisa direvisi tayang dongo berulah promosi nyari pasar pasar tambahan sok sok an savage target pasar abijar salah sutradara ama produser peran iya pemain utama bisabisanya ngga original jelasjelas remakeadaptasi loh kaga metode gampang coba baca webtoon ngirangira dimainin tuh didalemin males baca keliatan literasi rendah tuh
"Gw yg bukan fans K-drama aja kesel, apalagi yg beneran fans pasti gedeg banget ama si abijar abijar itu. Padahal banyak aktor bagus di Indonesia yg bahkan ampe kita lupa dia itu main di film yg berbeda, bukanya nyontoh senior-senior yg sukses malah matiin rezeki sendiri + orang lain. Memang dia masih pemula tapi he deserve it promosi bukanya nyari pasar tambahan malah ngebuang pasar utama.",kdrama kesel beneran gedeg ama abijar abijar bagus indonesia ampe lupa main berbeda bukanya nyontoh seniorsenior sukses matiin rezeki pemula he deserve it promosi bukanya nyari pasar tambahan ngebuang pasar utama
jangan bacot sombong... baru jadi artis aja...,bacot sombong artis
"<a href=""https://www.youtube.com/watch?v=vFUT18yhMB8&amp;t=475"">7:55</a> coki aja sampe speechless",755 coki sampe speechless
"Ya lagian aneh juga sih, dia mau bikin karakternya sendiri dari film adaptasi/remake yang udah jadi dan udah di peranin sama aktor lain tanpa bertanya atau riset sama si pengarang atau si aktor sebelumnya dan bahkan malah ga nonton juga film dari versi originalnya",aneh karakternya adaptasiremake peranin riset pengarang versi originalnya
"menurut gue abidzar kyak ga terima kritik soal fisik dia yg beda dr drakor nya,makanya dia sarkas nyenggol fans drakor , padahal wajar2 aja kl ada yg kritik , belajar lah dr adaptasi little  mermaid krmaren , meksipun dikritik ga cocok dgn karakter ariel karna berkulit gelap tp dia tetep nunjukin akting totalitas nya dan ga bluder pas lg promosi filmnya, jd film nya tetep bnyk yg nonton dan tetep bnyk yg suka jg sm karakter dia di film itu",kyak terima kritik fisik beda dr drakor nyamakanya sarkas nyenggol drakor wajar2 kl kritik belajar dr adaptasi little mermaid krmaren meksipun dikritik cocok dgn ariel karna berkulit gelap tp tetep nunjukin akting totalitas bluder pas lg promosi filmnya jd tetep bnyk tetep bnyk suka jg sm
Ada yang tahu judul musik openingnya?,judul musik openingnya
Musik openingnya judulnya apa bang?,musik openingnya judulnya
"Itu Aktor nya gak salahh TUHH Ireng gtu , Penghinaan buat versi Aslinya 🤦🏼🤦🏼<br><br>INTINYA YG ORIGINAL TETAP TERBAIK BAIK DRI DUBBING MAUPUN ALUR FILMNYA",salahh tuhh ireng gtu penghinaan versi aslinya intinya original terbaik dri dubbing alur filmnya
"REMAKE?, Penghinaan 😅😂",remake penghinaan
"Ketika k -pop ma J -pop dari Dulu, perang Dingin dll. 🤣<br><br>Ehhh..<br>Nongol karakter sendiri.<br>Di 2025🥳🤣 ya.. ngakak yg ada.<br>🤣😂🤣<br><br>J pop ma k pop dll.<br>🤣😂🤣<br><br>Indahnya..<br>Masa² tahun 2000an.<br>Sebelum coped 19 melanda 😅🤣",k pop ma j pop perang dingin dll ehnongol sendiridi 2025 ngakak adaj pop ma k pop dllindahnyamasa 20ansebelum coped 19 melanda
"Emang pantes di cancel itu anak gayanya dari dulu kek begitu, skill acting macam tai juga😂",pantes cancel anak gayanya kek skill acting tai
Sengawur-ngawur  Film Dragon Ball évolution DRI Animenya aslinya gak nyampe TUHH dpt rating 1.0😅😂😂😂,sengawurngawur dragon ball volution dri animenya aslinya nyampe tuhh dpt rating 10
69? Nice,69 nice
"Disini ucapan adalah doa dan bener&quot;terjadi dengan omongan si Abizar nya jadi netijen nurutin donk, yang dia ucapin kita kabulkan!!!",ucapan doa benerterjadi omongan abizar netijen nurutin donk ucapin kabulkan
bang jaket lu bagus gue suka,jaket bagus suka
"Kang taemo di Webtoon dan didrakornya penggambarannya sdh pas pas di Indonesia kaya penghinaan buat karakter aslinya yg udh dibuat sebagus itu malah dikasi abzr yg yaa kalian tau lahh kek gmn..kusem kaya gak keurus mukanya , wibwanya kaga ada juga.",kang taemo webtoon didrakornya penggambarannya sdh pas pas indonesia kaya penghinaan aslinya sebagus dikasi abzr yaa lahh kek gmnkusem kaya keurus mukanya wibwanya kaga
